judul,judul_slug,author,penerbit,isbn,bahasa,jumlah_halaman,isBestSeller,original_rating,adjusted_rating,rating_count,review_count,kategori
Love is The Devil Vol. 1,love-is-the-devil-vol-1,Pedoro Toriumi,Elex Media Komputindo,9786020447919,Indonesia,176,0,3.36,3,28,,novel_grafis
Stray Souls 08,stray-souls-08,Ryu Fujisaki,Elex Media Komputindo,9786020446127,Indonesia,192,0,3.0,3,2,,novel_grafis
LC : S - The Last Policeman 17,lc-s-the-last-policeman-17,Komori Yoichi;Toudou Yutaka,Elex Media Komputindo,9786020439495,Indonesia,192,0,4.0,4,3,,novel_grafis
Sebelum Cahaya-Mu Datang,conf-sebelum-cahaya-mu-datang,Tasmi P.S.;Tasmi P.S.,Mizan,9789791141697,Indonesia,432,0,4.0,4,7,,fiksi_sastra
Rival's Challenge - Terpikat Sang Musuh,conf-rivals-challenge-terpikat-sang-musuh,Abby Green,Gramedia Pustaka Utama,9786020326573,Indonesia,232,1,3.58,4,245,,romance
Sparkling Evening 01,sparkling-evening-01,Nami Fujio,m&c!,9786024283988,Indonesia,192,0,4.33,4,3,,novel_grafis
Hitman Reborn 19,hitman-reborn-19,Akira Amano,m&c!,9786024284091,Indonesia,200,0,4.35,4,367,,novel_grafis
Heartbeat!!,heartbeat,Rin Mamiya,m&c!,9786026922496,Indonesia,528,0,4.31,4,252,,novel_grafis
Rin 10,rin-10,Harold Sakuishi,m&c!,9786024286521,Indonesia,208,0,3.0,3,2,,novel_grafis
Color 2 - Tamat,color-2-tamat,Ao Mimori,m&c!,9786024285654,Indonesia,192,0,2.33,2,3,,novel_grafis
Shaman King 19,shaman-king-19,Hiroyuki Takei,m&c!,9789792315707,Indonesia,192,0,4.29,4,823,,novel_grafis
Score of Seventh Class 02,score-of-seventh-class-02,Tokio Shima,m&c!,9786024285708,Indonesia,184,0,3.0,3,2,,novel_grafis
The Platinum Sonata,the-platinum-sonata,Fuji Morita,m&c!,9786024285791,Indonesia,192,0,5.0,5,3,,novel_grafis
Our Chef-Owner is Actually,our-chef-owner-is-actually-02,Tamaki Oujima,m&c!,9786024285685,Indonesia,120,0,2.67,3,3,,novel_grafis
I Wont Ever Like You, My Senpai 04,i-wont-ever-like-you-my-senpai-04,Hatsuharu,m&c!,9786024285630,Indonesia,176,0,3.06,3,79,,novel_grafis
Yona, The Girl Standing in The Blush of Dawn 19,yona-the-girl-standing-in-the-blush-of-dawn-19,Mizuho Kusanagi,m&c!,9786024284596,Indonesia,192,0,4.62,5,2853,,novel_grafis
Last Game 10,last-game-10,Shinobu Amano,m&c!,9786024285937,Indonesia,192,0,4.27,4,576,,novel_grafis
Shaman King 18,shaman-king-18,Hiroyuki Takei,m&c!,9789792315691,Indonesia,192,0,4.15,4,804,,novel_grafis
Shaman King 13,shaman-king-13,Hiroyuki Takei,m&c!,9789792315646,Indonesia,192,0,4.16,4,931,,novel_grafis
Obral - Shes (Not) My Fiancee,obral-shes-not-my-fiancee,Anindana,Rdm Publishers,9786025164620,Indonesia,292,0,3.36,3,11,,novel
Obral - Unforgettable Memories,obral-unforgettable-memories,Shisakatya,Bukit,9786025112102,Indonesia,332,0,5.0,5,1,,novel
Color 01,color-01,Ao Mimori,m&c!,9786024285173,Indonesia,192,0,3.24,3,34,,novel_grafis
Blue Spring Ride 06,blue-spring-ride-06,Io Sakisaka,m&c!,9786024286064,Indonesia,184,0,4.35,4,7100,,novel_grafis
Para Penunggang Petir,conf-para-penunggang-petir,Muhammad Sadra,Mizan,9789792439380,Indonesia,252,0,2.38,2,13,3.0,fiksi_sastra
I am Your Bodyguard,conf-i-am-your-bodyguard,Bima Whynot,Jentera Pustaka,9786021416969,Indonesia,188,0,4.0,4,2,,fiksi_sastra
Pada Suatu Mata Kita Melukis Cahaya,conf-pada-suatu-mata-kita-melukis-cahaya,A Ganjar Sudibyo,Garudhawaca,9786027949706,Indonesia,100,0,4.0,4,3,,fiksi_sastra
First Couple In Love,conf-first-couple-in-love,Hanna Natasha Heidi,Mizan,9786029225976,Indonesia,214,0,3.0,3,12,3.0,fiksi_sastra
Hujan dan Pelangi,conf-hujan-dan-pelangi,Idawati Zhang;Mikayla Fernanda;Ch. Marcia;Idawati Zhang;Mikayla Fernanda;Ch. Marcia,Mizan,9786029481341,Indonesia,322,0,3.7,4,63,,fiksi_sastra
Obral,conf-obral,Komunitas Sastra Benang Merah,Pena Nusantara,9786021277218,Indonesia,72,0,2.33,2,3,,fiksi_sastra
No other,conf-no-other,Sacharissa Karina,Mizan,9786029397161,Indonesia,196,0,3.06,3,17,,fiksi_sastra
